name,name_c,img,price,no_rates,rating_100,released,system_name,processor,windows,storage,display,Wifi,bluetooth,camera,slim,hdmi,usb,spec_score
Asus ROG Flow Z13 GZ301VV-MU014WS L...,Asus ROG Flow Z13 GZ301VV-MU014WS Laptop (Core i9 13th Gen/16 GB/1 TB SSD/Windows 11/8 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-gz301vv-mu014ws-156738-v1-small-1.jpg?tr=q-80,209990,4,80,May 2023,- Windows 11,Intel Core i9 (13th Gen) 2.6 Ghz,Windows 11,"16 GB LPDDR5 RAM, 1 TB SSD","13.4"" (34.04 cm), 2560 x 1600 px Display",Wi-fi,Bluetooth,Web Camera,Slim 14.2 mm,,,
Asus ROG Flow X13 GV302XU-MU013WS L...,Asus ROG Flow X13 GV302XU-MU013WS Laptop (AMD Octa Core Ryzen 9/16 GB/1 TB SSD/Windows 11/6 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-gv302xu-mu013ws-158482-v1-small-1.jpg?tr=q-80,139990,1,100,May 2023,- Windows 11,AMD Octa-Core Ryzen 9 (7940HS) 4.8 Ghz,Windows 11,"16 GB LPDDR5 RAM, 1 TB SSD","13.4"" (34.04 cm), 2560 x 1600 px Display",Wi-fi,Bluetooth,Web Camera,Slim 18.7 mm,HDMI Port,,86
Asus ROG Zephyrus G14 GA402XZ-N2020...,Asus ROG Zephyrus G14 GA402XZ-N2020WS Laptop (AMD Octa Core Ryzen 9/32 GB/1 TB SSD/Windows 11/12 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-ga402xz-n2020ws-156733-v1-small-1.jpg?tr=q-80,201288,2,100,May 2023,- Windows 11,AMD Octa-Core Ryzen 9 (7940HS) 5.2 Ghz,Windows 11,"32 GB DDR5 RAM, 1 TB SSD","14"" (35.56 cm), 2560 x 1600 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 20.5 mm,HDMI Port,,
Asus ROG Zephyrus G14 GA402NU-N2023...,Asus ROG Zephyrus G14 GA402NU-N2023WS Laptop (AMD Octa Core Ryzen 7/16 GB/1 TB SSD/Windows 11/6 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-ga402nu-n2023ws-158560-v1-small-1.jpg?tr=q-80,147990,3,80,May 2023,- Windows 11,AMD Octa-Core Ryzen 7 (7735HS) 4.7 Ghz,Windows 11,"16 GB DDR5 RAM, 1 TB SSD","14"" (35.56 cm), 2560 x 1600 px Display",Wi-fi,Bluetooth,Web Camera,Slim 19.5 mm,HDMI Port,,
HP ProBook 440 G8 (5D6U3PA) Laptop ...,HP ProBook 440 G8 (5D6U3PA) Laptop (Core i5 11th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-440-g8-5d6u3pa-156621-v1-small-1.jpg?tr=q-80,65499,1,100,May 2023,- Windows 11,"Intel Core i5 (11th Gen) 4.2 Ghz, Quad-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","14"" (35.56 cm), 1366 x 768 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,72
Asus ROG Strix G17 G713PU-LL060WS L...,Asus ROG Strix G17 G713PU-LL060WS Laptop (AMD Hexadeca Core Ryzen 9/16 GB/1 TB SSD/Windows 11/6 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-g713pu-ll060ws-156739-v1-small-1.jpg?tr=q-80,159990,1,100,May 2023,- Windows 11,AMD Hexadeca-Core Ryzen 9 (7945HX) 4.8 Ghz,Windows 11,"16 GB DDR5 RAM, 1 TB SSD","17.3"" (43.94 cm), 2560 x 1440 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,87
Asus TUF Gaming F17 FX706HF-HX018W ...,Asus TUF Gaming F17 FX706HF-HX018W Laptop (Core i5 11th Gen/8 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-fx706hf-hx018w-156535-v1-small-1.jpg?tr=q-80,49980,1333,84,May 2023,- Windows 11,"Intel Core i5 (11th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","17.3"" (43.94 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,82
MSI GF63 Thin 11SC-1298IN Laptop (C...,MSI GF63 Thin 11SC-1298IN Laptop (Core i7 11th Gen/16 GB/1 TB 256 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-11sc-1298in-156533-v1-small-1.jpg?tr=q-80,50999,501,86,May 2023,- Windows 11,"Intel Core i7 (11th Gen) 3.0 Ghz, Octa-Core",Windows 11,"16 GB DDR4 RAM, 1 TB HDD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,75
HP 15-fd0013TU (7P705PA) Laptop (Co...,HP 15-fd0013TU (7P705PA) Laptop (Core i5 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15-fd0013tu-7p705pa-156525-v1-small-1.jpg?tr=q-80,57990,369,84,May 2023,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,75
MSI GF63 Thin 11UC-1294IN Laptop (C...,MSI GF63 Thin 11UC-1294IN Laptop (Core i7 11th Gen/16 GB/1 TB 256 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-11uc-1294in-156528-v1-small-1.jpg?tr=q-80,62990,933,86,May 2023,- Windows 11,"Intel Core i7 (11th Gen) 3.0 Ghz, Octa-Core",Windows 11,"16 GB DDR4 RAM, 1 TB HDD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,77
HP 15-fd0024TU (7Q865PA) Laptop (Co...,HP 15-fd0024TU (7Q865PA) Laptop (Core i7 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15-fd0024tu-7q865pa-156534-v1-small-1.jpg?tr=q-80,73990,200,86,May 2023,- Windows 11,Intel Core i7 (13th Gen) 5.0 Ghz,Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,77
Asus VivoBook S15 OLED S5504VA-MA74...,Asus VivoBook S15 OLED S5504VA-MA741WS Laptop (Core i7 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-s5504va-ma741ws-156529-v1-small-1.jpg?tr=q-80,94990,35,86,May 2023,- Windows 11,Intel Core i7 (13th Gen) 5.0 Ghz,Windows 11,"16 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 2880 x 1620 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,,,79
MSI GF63 Thin 12VE-267IN Laptop (Co...,MSI GF63 Thin 12VE-267IN Laptop (Core i5 12th Gen/16 GB/1 TB 256 GB SSD/Windows 11/6 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-12ve-267in-156526-v1-small-1.jpg?tr=q-80,87056,180,90,May 2023,- Windows 11,"Intel Core i5 (12th Gen) 3.3 Ghz, Octa-Core",Windows 11,"16 GB DDR4 RAM, 1 TB HDD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,80
MSI GF63 Thin 12UCX-269IN Laptop (C...,MSI GF63 Thin 12UCX-269IN Laptop (Core i5 12th Gen/16 GB/1 TB 256 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-12ucx-269in-156524-v1-small-1.jpg?tr=q-80,68222,172,86,May 2023,- Windows 11,"Intel Core i5 (12th Gen) 3.3 Ghz, Octa-Core",Windows 11,"16 GB DDR4 RAM, 1 TB HDD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,,,77
MSI Vector GP77 13VG-055IN Laptop (...,MSI Vector GP77 13VG-055IN Laptop (Core i7 13th Gen/32 GB/1 TB SSD/Windows 11/8 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-13vg-055in-156644-v1-small-1.jpg?tr=q-80,195990,5,92,May 2023,- Windows 11,Intel Core i7 (13th Gen) 5.0 Ghz,Windows 11,"32 GB DDR5 RAM, 1 TB SSD","17.3"" (43.94 cm), 2560 x 1440 px Display",Wi-fi,Bluetooth,Web Camera,,,,
Asus VivoBook 15 X1504VA-NJ524WS La...,Asus VivoBook 15 X1504VA-NJ524WS Laptop (Core i5 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-x1504va-nj524ws-156531-v1-small-1.jpg?tr=q-80,50990,14,72,May 2023,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Deca-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,75
Acer Predator Helios Neo 16 PHN16-7...,Acer Predator Helios Neo 16 PHN16-71 (NH.QLUSI.001) Laptop (Core i7 13th Gen/16 GB/1 TB SSD/Windows 11/8 GB) price in India,//www.91-img.com/pictures/laptops/acer/acer-predator-helios-neo-16-phn16-71-nh-qlusi-001-laptop-core-i7-13th-gen-16-gb-1-tb-ssd-windows-11-8-gb-156532-v3-small-1.jpg?tr=q-80,159999,291,86,May 2023,- Windows 11,Intel Core i7 (13th Gen) 5.0 Ghz,Windows 11,"16 GB DDR5 RAM, 1 TB SSD","16"" (40.64 cm), 2560 x 1600 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,
Dell Alienware m18 R1 (ANM18I0UCFG0...,Dell Alienware m18 R1 (ANM18I0UCFG002CRB1) Laptop (Core i9 13th Gen/32 GB/1 TB SSD/Windows 11/12 GB) price in India,//www.91-img.com/pictures/laptops/dell/dell-m18-r1-anm18i0ucfg002crb1-158304-v1-small-1.jpg?tr=q-80,367905,4,70,May 2023,- Windows 11,Intel Core i9 (13th Gen) 5.4 Ghz,Windows 11,"32 GB DDR5 RAM, 1 TB SSD","18"" (45.72 cm), 2560 x 1600 px Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,
HP ProBook 445 G8 (7K2J9PA) Laptop ...,HP ProBook 445 G8 (7K2J9PA) Laptop (AMD Octa Core Ryzen 7/8 GB/512 GB SSD/DOS) price in India,//www.91-img.com/pictures/laptops/hp/hp-445-g8-7k2j9pa-160401-v1-small-1.jpg?tr=q-80,49990,2,60,May 2023,- DOS,AMD Octa-Core Ryzen 7 (5800U) 4.4 Ghz,DOS,"8 GB DDR4 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,74
HP ProBook 445 G8 (7K2K0PA) Laptop ...,HP ProBook 445 G8 (7K2K0PA) Laptop (AMD Octa Core Ryzen 7/8 GB/512 GB SSD/DOS) price in India,//www.91-img.com/pictures/laptops/hp/hp-445-g8-7k2k0pa-159380-v1-small-1.jpg?tr=q-80,49990,8,82,May 2023,- DOS,AMD Octa-Core Ryzen 7 (5800U) 4.2 Ghz,DOS,"8 GB DDR4 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,75
HP 14-em0026AU (7N8C3PA) Laptop (AM...,HP 14-em0026AU (7N8C3PA) Laptop (AMD Quad Core Ryzen 5/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-14-em0026au-7n8c3pa-157725-v1-small-1.jpg?tr=q-80,42690,2,100,May 2023,- Windows 11,AMD Quad-Core Ryzen 5 (7520U) 4.2 Ghz,Windows 11,"8 GB LPDDR5 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,72
HP 15-fd0006TU (7P6Z8PA) Laptop (Co...,HP 15-fd0006TU (7P6Z8PA) Laptop (Core i3 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15-fd0006tu-7p6z8pa-156387-v1-small-1.jpg?tr=q-80,36590,120,84,May 2023,- Windows 11,"Intel Core i3 (13th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,72
HP 15-fc0030AU (7L034PA) Laptop (AM...,HP 15-fc0030AU (7L034PA) Laptop (AMD Quad Core Ryzen 5/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15-fc0030au-7l034pa-157644-v1-small-1.jpg?tr=q-80,44000,64,84,Apr 2023,- Windows 11,AMD Quad-Core Ryzen 5 (7520U) 2.8 Ghz,Windows 11,"16 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,71
HP 15-fd0011TU (7P703PA) Laptop (Co...,HP 15-fd0011TU (7P703PA) Laptop (Core i5 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15-fd0011tu-7p703pa-157648-v1-small-1.jpg?tr=q-80,51290,369,84,Apr 2023,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Deca-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 18.6 mm,HDMI Port,,
Infinix Y1 Plus Neo XL30 Laptop (In...,Infinix Y1 Plus Neo XL30 Laptop (Intel Celeron Quad Core/8 GB/256 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/infinix/infinix-y1-plus-neo-xl30-156025-v1-small-1.jpg?tr=q-80,19999,4097,80,Apr 2023,- Windows 11,"Intel Celeron Quad-Core 1.1 Ghz, Quad-Core",Windows 11,"8 GB LPDDR4X RAM, 256 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 18.1 mm,HDMI Port,2 USB Ports,
Infinix Y1 Plus Neo XL30 Laptop (In...,Infinix Y1 Plus Neo XL30 Laptop (Intel Celeron Quad Core/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/infinix/infinix-y1-plus-neo-xl30-156026-v1-small-1.jpg?tr=q-80,24990,4094,80,Apr 2023,- Windows 11,"Intel Celeron Quad-Core 1.1 Ghz, Quad-Core",Windows 11,"8 GB LPDDR4X RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 18.1 mm,HDMI Port,2 USB Ports,
MSI GF63 Thin 11SC-1400IN Laptop (C...,MSI GF63 Thin 11SC-1400IN Laptop (Core i5 11th Gen/16 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-11sc-1400in-156270-v1-small-1.jpg?tr=q-80,53990,1158,88,Apr 2023,- Windows 11,"Intel Core i5 (11th Gen) 2.7 Ghz, Hexa-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,75
MSI GF63 Thin 12UCX-266IN Laptop (C...,MSI GF63 Thin 12UCX-266IN Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-12ucx-266in-156276-v1-small-1.jpg?tr=q-80,65536,172,86,Apr 2023,- Windows 11,"Intel Core i5 (12th Gen) 3.3 Ghz, Octa-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,77
HP 15-fd0019TU (7Q6Z0PA) Laptop (Co...,HP 15-fd0019TU (7Q6Z0PA) Laptop (Core i3 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15-fd0019tu-7q6z0pa-157647-v1-small-1.jpg?tr=q-80,38900,239,82,Apr 2023,- Windows 11,"Intel Core i3 (13th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 18.6 mm,HDMI Port,,73
MSI GF63 Thin 11UC-1295IN Laptop (C...,MSI GF63 Thin 11UC-1295IN Laptop (Core i5 11th Gen/16 GB/1 TB 256 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-11uc-1295in-156278-v1-small-1.jpg?tr=q-80,63808,103,84,Apr 2023,- Windows 11,"Intel Core i5 (11th Gen) 2.7 Ghz, Hexa-Core",Windows 11,"16 GB DDR4 RAM, 1 TB HDD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,76
MSI GF63 Thin 12UCX-265IN Laptop (C...,MSI GF63 Thin 12UCX-265IN Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-12ucx-265in-156275-v1-small-1.jpg?tr=q-80,71990,172,86,Apr 2023,- Windows 11,"Intel Core i5 (12th Gen) 3.3 Ghz, Octa-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,78
Asus VivoBook Go 14 E1404GA-NK322WS...,Asus VivoBook Go 14 E1404GA-NK322WS Laptop (Core i3 12th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-14-e1404ga-nk322ws-156277-v1-small-1.jpg?tr=q-80,32990,395,84,Apr 2023,- Windows 11,"Intel Core i3 (12th Gen) 1.8 Ghz, Octa-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,72
MSI GF63 Thin 11UC-1296IN Laptop (C...,MSI GF63 Thin 11UC-1296IN Laptop (Core i5 11th Gen/16 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-11uc-1296in-156273-v1-small-1.jpg?tr=q-80,64671,590,86,Apr 2023,- Windows 11,"Intel Core i5 (11th Gen) 2.7 Ghz, Hexa-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,77
MSI Katana GF66 12UC-1005IN Laptop ...,MSI Katana GF66 12UC-1005IN Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-12uc-1005in-156279-v1-small-1.jpg?tr=q-80,75990,12,86,Apr 2023,- Windows 11,"Intel Core i5 (12th Gen) 3.3 Ghz, Octa-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,78
MSI GF63 Thin 11UC-1293IN Laptop (C...,MSI GF63 Thin 11UC-1293IN Laptop (Core i7 11th Gen/16 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-11uc-1293in-156165-v1-small-1.jpg?tr=q-80,89990,1067,84,Apr 2023,- Windows 11,"Intel Core i7 (11th Gen) 3.0 Ghz, Octa-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,78
MSI GF63 Thin 11SC-1401IN Laptop (C...,MSI GF63 Thin 11SC-1401IN Laptop (Core i5 11th Gen/8 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-11sc-1401in-156164-v1-small-1.jpg?tr=q-80,48999,297,82,Apr 2023,- Windows 11,"Intel Core i5 (11th Gen) 2.7 Ghz, Hexa-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,74
MSI Cyborg 15 A12UCX-264IN Laptop (...,MSI Cyborg 15 A12UCX-264IN Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-a12ucx-264in-159767-v1-small-1.jpg?tr=q-80,58500,43,80,Apr 2023,- Windows 11,"Intel Core i5 (12th Gen) 3.3 Ghz, Octa-Core",Windows 11,"16 GB DDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,85
MSI GF63 Thin 11UC-1297IN Laptop (C...,MSI GF63 Thin 11UC-1297IN Laptop (Core i5 11th Gen/8 GB/1 TB 256 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-11uc-1297in-156168-v1-small-1.jpg?tr=q-80,63034,103,84,Apr 2023,- Windows 11,"Intel Core i5 (11th Gen) 2.7 Ghz, Hexa-Core",Windows 11,"8 GB DDR4 RAM, 1 TB HDD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,76
MSI GF63 Thin 11SC-1299IN Laptop (C...,MSI GF63 Thin 11SC-1299IN Laptop (Core i5 11th Gen/8 GB/1 TB 256 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-11sc-1299in-156169-v1-small-1.jpg?tr=q-80,53437,96,84,Apr 2023,- Windows 11,"Intel Core i5 (11th Gen) 2.7 Ghz, Hexa-Core",Windows 11,"8 GB DDR4 RAM, 1 TB HDD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,73
MSI Katana GF66 12UC-1004IN Laptop ...,MSI Katana GF66 12UC-1004IN Laptop (Core i7 12th Gen/16 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-12uc-1004in-156162-v1-small-1.jpg?tr=q-80,85990,31,88,Apr 2023,- Windows 11,"Intel Core i7 (12th Gen) 3.1 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,80
MSI Katana 15 B12UDXK-1004IN Laptop...,MSI Katana 15 B12UDXK-1004IN Laptop (Core i7 12th Gen/16 GB/512 GB SSD/Windows 11/6 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-b12udxk-1004in-158709-v1-small-1.jpg?tr=q-80,85990,13,88,Apr 2023,- Windows 11,"Intel Core i7 (12th Gen) 4.7 Ghz, Deca-Core",Windows 11,"16 GB DDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,87
MSI Katana 15 B12UDXK-1006IN Laptop...,MSI Katana 15 B12UDXK-1006IN Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11/6 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-b12udxk-1006in-159327-v1-small-1.jpg?tr=q-80,77817,138,84,Apr 2023,- Windows 11,"Intel Core i5 (12th Gen) 3.3 Ghz, Octa-Core",Windows 11,"8 GB DDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,85
MSI Katana 15 B12UDXK-1005IN Laptop...,MSI Katana 15 B12UDXK-1005IN Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11/6 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-b12udxk-1005in-159328-v1-small-1.jpg?tr=q-80,81246,131,84,Apr 2023,- Windows 11,"Intel Core i5 (12th Gen) 3.3 Ghz, Octa-Core",Windows 11,"16 GB DDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,86
MSI Katana GF66 12UC-880IN Laptop (...,MSI Katana GF66 12UC-880IN Laptop (Core i7 12th Gen/8 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-12uc-880in-156167-v1-small-1.jpg?tr=q-80,67999,31,88,Apr 2023,- Windows 11,"Intel Core i7 (12th Gen) 3.3 Ghz, Deca-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,81
HP 15s-fr4001TU (7J3Z3PA) Laptop (C...,HP 15s-fr4001TU (7J3Z3PA) Laptop (Core i5 11th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15s-fr4001tu-7j3z3pa-laptop-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-156523-v3-small-1.jpg?tr=q-80,48999,3925,86,Apr 2023,- Windows 11,"Intel Core i5 (11th Gen) 4.2 Ghz, Quad-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,,,73
HP 15s-fy5003TU (7Q700PA) Laptop (C...,HP 15s-fy5003TU (7Q700PA) Laptop (Core i3 12th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15s-fy5003tu-7q700pa-160750-v1-small-1.jpg?tr=q-80,33990,3269,84,Apr 2023,- Windows 11,"Intel Core i3 (12th Gen) 0.8 Ghz, Hexa-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,75
HP 15s-fq2738TU Laptop (Core i3 11t...,HP 15s-fq2738TU Laptop (Core i3 11th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15s-fq2738tu-156268-v1-small-1.jpg?tr=q-80,35990,235,80,Apr 2023,- Windows 11,"Intel Core i3 (11th Gen) 4.0 Ghz, Dual-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1366 x 768 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,
